Results of experiments stored in: ./experiments/CartPole-v1_17

Episode: 1 (22383), exploration: 0.9999250018749842, score: 14.0
Scores: (min: 14.0, avg: 14.0, max: 14.0)

Episode: 2 (22384), exploration: 0.999775022498687, score: 24.0
Scores: (min: 14.0, avg: 19.0, max: 24.0)

Episode: 3 (22385), exploration: 0.9997000412465621, score: 14.0
Scores: (min: 14.0, avg: 17.333333333333332, max: 24.0)

Episode: 4 (22386), exploration: 0.9996250656178904, score: 12.0
Scores: (min: 12.0, avg: 16.0, max: 24.0)

Episode: 5 (22387), exploration: 0.9995001187321884, score: 21.0
Scores: (min: 12.0, avg: 17.0, max: 24.0)

Episode: 6 (22388), exploration: 0.999275253692914, score: 33.0
Scores: (min: 12.0, avg: 19.666666666666668, max: 33.0)

Episode: 7 (22389), exploration: 0.999125371772753, score: 26.0
Scores: (min: 12.0, avg: 20.571428571428573, max: 33.0)

Episode: 8 (22390), exploration: 0.9988506466378739, score: 44.0
Scores: (min: 12.0, avg: 23.5, max: 44.0)

Episode: 9 (22391), exploration: 0.9987257965497045, score: 19.0
Scores: (min: 12.0, avg: 23.0, max: 44.0)

Episode: 10 (22392), exploration: 0.9985510326430378, score: 29.0
Scores: (min: 12.0, avg: 23.6, max: 44.0)

Episode: 11 (22393), exploration: 0.9984511812842772, score: 16.0
Scores: (min: 12.0, avg: 22.90909090909091, max: 44.0)

Episode: 12 (22394), exploration: 0.9983513399102781, score: 16.0
Scores: (min: 12.0, avg: 22.333333333333332, max: 44.0)

Episode: 13 (22395), exploration: 0.9979271254400728, score: 66.0
Scores: (min: 12.0, avg: 25.692307692307693, max: 66.0)

Episode: 14 (22396), exploration: 0.9978273364696929, score: 16.0
Scores: (min: 12.0, avg: 25.0, max: 66.0)

Episode: 15 (22397), exploration: 0.9977275574778359, score: 16.0
Scores: (min: 12.0, avg: 24.4, max: 66.0)

Episode: 16 (22398), exploration: 0.9975779076975981, score: 27.0
Scores: (min: 12.0, avg: 24.5625, max: 66.0)

Episode: 17 (22399), exploration: 0.9975030912249637, score: 12.0
Scores: (min: 12.0, avg: 23.823529411764707, max: 66.0)

Episode: 18 (22400), exploration: 0.9973784095727988, score: 18.0
Scores: (min: 12.0, avg: 23.5, max: 66.0)

Episode: 19 (22401), exploration: 0.9971290930198029, score: 40.0
Scores: (min: 12.0, avg: 24.36842105263158, max: 66.0)

Episode: 20 (22402), exploration: 0.9970543102074277, score: 11.0
Scores: (min: 11.0, avg: 23.7, max: 66.0)

Episode: 21 (22403), exploration: 0.9969296846500852, score: 21.0
Scores: (min: 11.0, avg: 23.571428571428573, max: 66.0)

Episode: 22 (22404), exploration: 0.9968549167929638, score: 11.0
Scores: (min: 11.0, avg: 23.0, max: 66.0)

Episode: 23 (22405), exploration: 0.9967801545432915, score: 14.0
Scores: (min: 11.0, avg: 22.608695652173914, max: 66.0)

Episode: 24 (22406), exploration: 0.9967053979006477, score: 10.0
Scores: (min: 10.0, avg: 22.083333333333332, max: 66.0)

Episode: 25 (22407), exploration: 0.9965808159551628, score: 21.0
Scores: (min: 10.0, avg: 22.04, max: 66.0)

Episode: 26 (22408), exploration: 0.9965060742625396, score: 14.0
Scores: (min: 10.0, avg: 21.73076923076923, max: 66.0)

Episode: 27 (22409), exploration: 0.9964064273919485, score: 13.0
