Results of experiments stored in: ./experiments/CartPole-v1_16

Episode: 1 (862), exploration: 0.9995200863930881, score: 34.0
Scores: (min: 34.0, avg: 34.0, max: 34.0)

Episode: 2 (863), exploration: 0.9985609500199424, score: 33.0
Scores: (min: 33.0, avg: 33.5, max: 34.0)

Episode: 3 (864), exploration: 0.9982015112140427, score: 14.0
Scores: (min: 14.0, avg: 27.0, max: 34.0)

Episode: 4 (865), exploration: 0.9976027340310839, score: 20.0
Scores: (min: 14.0, avg: 25.25, max: 34.0)

Episode: 5 (866), exploration: 0.9970043160282215, score: 17.0
Scores: (min: 14.0, avg: 23.6, max: 34.0)

Episode: 6 (867), exploration: 0.9954501086378854, score: 52.0
Scores: (min: 14.0, avg: 28.333333333333332, max: 52.0)

Episode: 7 (868), exploration: 0.9950917896005003, score: 12.0
Scores: (min: 12.0, avg: 26.0, max: 52.0)

Episode: 8 (869), exploration: 0.9944948778027635, score: 20.0
Scores: (min: 12.0, avg: 25.25, max: 52.0)

Episode: 9 (870), exploration: 0.9930637499686941, score: 51.0
Scores: (min: 12.0, avg: 28.11111111111111, max: 52.0)

Episode: 10 (871), exploration: 0.9927062899173433, score: 12.0
Scores: (min: 12.0, avg: 26.5, max: 52.0)

Episode: 11 (872), exploration: 0.992229876661145, score: 15.0
Scores: (min: 12.0, avg: 25.454545454545453, max: 52.0)

Episode: 12 (873), exploration: 0.9916346815991058, score: 19.0
Scores: (min: 12.0, avg: 24.916666666666668, max: 52.0)

Episode: 13 (874), exploration: 0.9911587826223207, score: 15.0
Scores: (min: 12.0, avg: 24.153846153846153, max: 52.0)

Episode: 14 (875), exploration: 0.9908020082769233, score: 15.0
Scores: (min: 12.0, avg: 23.5, max: 52.0)

Episode: 15 (876), exploration: 0.9903265089113956, score: 13.0
Scores: (min: 12.0, avg: 22.8, max: 52.0)

Episode: 16 (877), exploration: 0.9898512377444836, score: 18.0
Scores: (min: 12.0, avg: 22.5, max: 52.0)

Episode: 17 (878), exploration: 0.9891387586269687, score: 24.0
Scores: (min: 12.0, avg: 22.58823529411765, max: 52.0)

Episode: 18 (879), exploration: 0.9881895841437316, score: 33.0
Scores: (min: 12.0, avg: 23.166666666666668, max: 52.0)

Episode: 19 (880), exploration: 0.9875968126754706, score: 17.0
Scores: (min: 12.0, avg: 22.842105263157894, max: 52.0)

Episode: 20 (881), exploration: 0.987241320485383, score: 14.0
Scores: (min: 12.0, avg: 22.4, max: 52.0)

Episode: 21 (882), exploration: 0.9862939667778983, score: 32.0
Scores: (min: 12.0, avg: 22.857142857142858, max: 52.0)

Episode: 22 (883), exploration: 0.9858206308828266, score: 15.0
Scores: (min: 12.0, avg: 22.5, max: 52.0)

Episode: 23 (884), exploration: 0.9848746404646758, score: 34.0
Scores: (min: 12.0, avg: 23.0, max: 52.0)

Episode: 24 (885), exploration: 0.9839295578159944, score: 29.0
Scores: (min: 12.0, avg: 23.25, max: 52.0)

Episode: 25 (886), exploration: 0.9833393417501599, score: 21.0
Scores: (min: 12.0, avg: 23.16, max: 52.0)

Episode: 26 (887), exploration: 0.9827494797289839, score: 21.0
Scores: (min: 12.0, avg: 23.076923076923077, max: 52.0)

Episode: 27 (888), exploration: 0.9820421123435058, score: 22.0
Scores: (min: 12.0, avg: 23.037037037037038, max: 52.0)

Episode: 28 (889), exploration: 0.9815708169712317, score: 19.0
Scores: (min: 12.0, avg: 22.892857142857142, max: 52.0)

Episode: 29 (890), exploration: 0.9803935678452598, score: 40.0
Scores: (min: 12.0, avg: 23.482758620689655, max: 52.0)

Episode: 30 (891), exploration: 0.9798054728642861, score: 17.0
Scores: (min: 12.0, avg: 23.266666666666666, max: 52.0)

Episode: 31 (892), exploration: 0.9794527852199583, score: 12.0
Scores: (min: 12.0, avg: 22.903225806451612, max: 52.0)

Episode: 32 (893), exploration: 0.9787477907425546, score: 25.0
Scores: (min: 12.0, avg: 22.96875, max: 52.0)

Episode: 33 (894), exploration: 0.9783954838181005, score: 13.0
Scores: (min: 12.0, avg: 22.666666666666668, max: 52.0)

Episode: 34 (895), exploration: 0.977456618548031, score: 31.0
Scores: (min: 12.0, avg: 22.91176470588235, max: 52.0)

Episode: 35 (896), exploration: 0.9771047763897907, score: 13.0
Scores: (min: 12.0, avg: 22.62857142857143, max: 52.0)

Episode: 36 (897), exploration: 0.9765186542101612, score: 20.0
Scores: (min: 12.0, avg: 22.555555555555557, max: 52.0)

Episode: 37 (898), exploration: 0.9761671496785639, score: 12.0
Scores: (min: 12.0, avg: 22.27027027027027, max: 52.0)

Episode: 38 (899), exploration: 0.9756986737808128, score: 16.0
Scores: (min: 12.0, avg: 22.105263157894736, max: 52.0)

Episode: 39 (900), exploration: 0.9753474644067482, score: 13.0
Scores: (min: 12.0, avg: 21.871794871794872, max: 52.0)

Episode: 40 (901), exploration: 0.9746454248737226, score: 23.0
Scores: (min: 12.0, avg: 21.9, max: 52.0)

Episode: 41 (902), exploration: 0.9734764817320495, score: 38.0
Scores: (min: 12.0, avg: 22.29268292682927, max: 52.0)

Episode: 42 (903), exploration: 0.9730092971224577, score: 16.0
Scores: (min: 12.0, avg: 22.142857142857142, max: 52.0)

Episode: 43 (904), exploration: 0.9725423367211168, score: 18.0
Scores: (min: 12.0, avg: 22.046511627906977, max: 52.0)

Episode: 44 (905), exploration: 0.9719589513483761, score: 19.0
Scores: (min: 12.0, avg: 21.977272727272727, max: 52.0)

Episode: 45 (906), exploration: 0.9716090881128377, score: 14.0
Scores: (min: 12.0, avg: 21.8, max: 52.0)

Episode: 46 (907), exploration: 0.9712593508129508, score: 12.0
Scores: (min: 12.0, avg: 21.58695652173913, max: 52.0)

Episode: 47 (908), exploration: 0.9705602538388216, score: 24.0
Scores: (min: 12.0, avg: 21.638297872340427, max: 52.0)

Episode: 48 (909), exploration: 0.9693962102560464, score: 38.0
Scores: (min: 12.0, avg: 21.979166666666668, max: 52.0)

Episode: 49 (910), exploration: 0.9686984543407441, score: 26.0
Scores: (min: 12.0, avg: 22.06122448979592, max: 52.0)

Episode: 50 (911), exploration: 0.9678850405149305, score: 26.0
Scores: (min: 12.0, avg: 22.14, max: 52.0)

Episode: 51 (912), exploration: 0.9668402262823141, score: 37.0
Scores: (min: 12.0, avg: 22.431372549019606, max: 52.0)

Episode: 52 (913), exploration: 0.9662602613548313, score: 20.0
Scores: (min: 12.0, avg: 22.384615384615383, max: 52.0)

Episode: 53 (914), exploration: 0.9654488948739638, score: 28.0
Scores: (min: 12.0, avg: 22.49056603773585, max: 52.0)

Episode: 54 (915), exploration: 0.9649855628125358, score: 16.0
Scores: (min: 12.0, avg: 22.37037037037037, max: 52.0)

Episode: 55 (916), exploration: 0.9646382096956321, score: 11.0
Scores: (min: 11.0, avg: 22.163636363636364, max: 52.0)

Episode: 56 (917), exploration: 0.9642909816108454, score: 14.0
Scores: (min: 11.0, avg: 22.017857142857142, max: 52.0)

Episode: 57 (918), exploration: 0.9630188809587037, score: 44.0
Scores: (min: 11.0, avg: 22.403508771929825, max: 52.0)

Episode: 58 (919), exploration: 0.9624412082882073, score: 17.0
Scores: (min: 11.0, avg: 22.310344827586206, max: 52.0)

Episode: 59 (920), exploration: 0.9620947710290206, score: 15.0
Scores: (min: 11.0, avg: 22.1864406779661, max: 52.0)

Episode: 60 (921), exploration: 0.9616330486572652, score: 14.0
Scores: (min: 11.0, avg: 22.05, max: 52.0)

Episode: 61 (922), exploration: 0.9611715478723585, score: 16.0
Scores: (min: 11.0, avg: 21.950819672131146, max: 52.0)

Episode: 62 (923), exploration: 0.960710268567958, score: 15.0
Scores: (min: 11.0, avg: 21.838709677419356, max: 52.0)

Episode: 63 (924), exploration: 0.9604797119377296, score: 11.0
Scores: (min: 11.0, avg: 21.666666666666668, max: 52.0)

