Results of experiments stored in: ./experiments/CartPole-v1_14

Episode: 1 (22558), exploration: 0.9995200863930881, score: 26.0
Scores: (min: 26.0, avg: 26.0, max: 26.0)

Episode: 2 (22559), exploration: 0.9990404031032464, score: 17.0
Scores: (min: 17.0, avg: 21.5, max: 26.0)

Episode: 3 (22560), exploration: 0.99844112270594, score: 20.0
Scores: (min: 17.0, avg: 21.0, max: 26.0)

Episode: 4 (22561), exploration: 0.9980817270326969, score: 10.0
Scores: (min: 10.0, avg: 18.25, max: 26.0)

Episode: 5 (22562), exploration: 0.9978422017905859, score: 11.0
Scores: (min: 10.0, avg: 16.8, max: 26.0)

Episode: 6 (22563), exploration: 0.9964062569899989, score: 46.0
Scores: (min: 10.0, avg: 21.666666666666668, max: 46.0)

Episode: 7 (22564), exploration: 0.9958085567010889, score: 20.0
Scores: (min: 10.0, avg: 21.428571428571427, max: 46.0)

Episode: 8 (22565), exploration: 0.9955695769871239, score: 10.0
Scores: (min: 10.0, avg: 20.0, max: 46.0)

Episode: 9 (22566), exploration: 0.9950917896005003, score: 13.0
Scores: (min: 10.0, avg: 19.22222222222222, max: 46.0)

Episode: 10 (22567), exploration: 0.9941369026072147, score: 33.0
Scores: (min: 10.0, avg: 20.6, max: 46.0)

Episode: 11 (22568), exploration: 0.9935405636041865, score: 22.0
Scores: (min: 10.0, avg: 20.727272727272727, max: 46.0)

Episode: 12 (22569), exploration: 0.9930637499686941, score: 16.0
Scores: (min: 10.0, avg: 20.333333333333332, max: 46.0)

Episode: 13 (22570), exploration: 0.9927062899173433, score: 11.0
Scores: (min: 10.0, avg: 19.615384615384617, max: 46.0)

Episode: 14 (22571), exploration: 0.9923489585361693, score: 11.0
Scores: (min: 10.0, avg: 19.0, max: 46.0)

Episode: 15 (22572), exploration: 0.9916346815991058, score: 26.0
Scores: (min: 10.0, avg: 19.466666666666665, max: 46.0)

Episode: 16 (22573), exploration: 0.9909209187871778, score: 24.0
Scores: (min: 10.0, avg: 19.75, max: 46.0)

Episode: 17 (22574), exploration: 0.9897324555959542, score: 40.0
Scores: (min: 10.0, avg: 20.941176470588236, max: 46.0)

Episode: 18 (22575), exploration: 0.9884267923405475, score: 42.0
Scores: (min: 10.0, avg: 22.11111111111111, max: 46.0)

Episode: 19 (22576), exploration: 0.9880710013936344, score: 14.0
Scores: (min: 10.0, avg: 21.68421052631579, max: 46.0)

Episode: 20 (22577), exploration: 0.9874783010579495, score: 20.0
Scores: (min: 10.0, avg: 21.6, max: 46.0)

Episode: 21 (22578), exploration: 0.9866491178387834, score: 28.0
Scores: (min: 10.0, avg: 21.904761904761905, max: 46.0)

Episode: 22 (22579), exploration: 0.9861756115018849, score: 16.0
Scores: (min: 10.0, avg: 21.636363636363637, max: 46.0)

Episode: 23 (22580), exploration: 0.9857023324071206, score: 15.0
Scores: (min: 10.0, avg: 21.347826086956523, max: 46.0)

Episode: 24 (22581), exploration: 0.9852292804454337, score: 15.0
Scores: (min: 10.0, avg: 21.083333333333332, max: 46.0)

Episode: 25 (22582), exploration: 0.98475645550782, score: 15.0
Scores: (min: 10.0, avg: 20.84, max: 46.0)

Episode: 26 (22583), exploration: 0.9844019857236144, score: 12.0
Scores: (min: 10.0, avg: 20.5, max: 46.0)

Episode: 27 (22584), exploration: 0.9840476435332185, score: 15.0
Scores: (min: 10.0, avg: 20.296296296296298, max: 46.0)

Episode: 28 (22585), exploration: 0.9832213410291499, score: 25.0
Scores: (min: 10.0, avg: 20.464285714285715, max: 46.0)

Episode: 29 (22586), exploration: 0.9826315497914163, score: 20.0
Scores: (min: 10.0, avg: 20.448275862068964, max: 46.0)

Episode: 30 (22587), exploration: 0.9821599715400906, score: 17.0
Scores: (min: 10.0, avg: 20.333333333333332, max: 46.0)

