Results of experiments stored in: ./experiments/CartPole-v1_6
Episode: 1, exploration: 1.0, score: 20.0
Scores: (min: 20.0, avg: 20.0, max: 20.0)

Episode: 2, exploration: 0.9977522486879922, score: 20.0
Scores: (min: 20.0, avg: 20.0, max: 20.0)

Episode: 3, exploration: 0.9935202719333348, score: 17.0
Scores: (min: 17.0, avg: 19.0, max: 20.0)

Episode: 4, exploration: 0.990791503851314, score: 11.0
Scores: (min: 11.0, avg: 17.0, max: 20.0)

Episode: 5, exploration: 0.9875762571475453, score: 13.0
Scores: (min: 11.0, avg: 16.2, max: 20.0)

Episode: 6, exploration: 0.9828958097097626, score: 19.0
Scores: (min: 11.0, avg: 16.666666666666668, max: 20.0)

Episode: 7, exploration: 0.9784821649870683, score: 18.0
Scores: (min: 11.0, avg: 16.857142857142858, max: 20.0)

Episode: 8, exploration: 0.9753068636815545, score: 13.0
Scores: (min: 11.0, avg: 16.375, max: 20.0)

Episode: 9, exploration: 0.9711700892656754, score: 17.0
Scores: (min: 11.0, avg: 16.444444444444443, max: 20.0)

Episode: 10, exploration: 0.9653597907411388, score: 24.0
Scores: (min: 11.0, avg: 17.2, max: 24.0)

Episode: 11, exploration: 0.9627083672533073, score: 11.0
Scores: (min: 11.0, avg: 16.636363636363637, max: 24.0)

Episode: 12, exploration: 0.9603043021481686, score: 10.0
Scores: (min: 10.0, avg: 16.083333333333332, max: 24.0)

Episode: 13, exploration: 0.9579062404488652, score: 10.0
Scores: (min: 10.0, avg: 15.615384615384615, max: 24.0)

Episode: 14, exploration: 0.9536048101434074, score: 18.0
Scores: (min: 10.0, avg: 15.785714285714286, max: 24.0)

Episode: 15, exploration: 0.9505102390751314, score: 13.0
Scores: (min: 10.0, avg: 15.6, max: 24.0)

Episode: 16, exploration: 0.9471888538630413, score: 14.0
Scores: (min: 10.0, avg: 15.5, max: 24.0)

Episode: 17, exploration: 0.9396406326123358, score: 32.0
Scores: (min: 10.0, avg: 16.470588235294116, max: 32.0)

Episode: 18, exploration: 0.9370598484660265, score: 11.0
Scores: (min: 10.0, avg: 16.166666666666668, max: 32.0)

Episode: 19, exploration: 0.9333186288284107, score: 16.0
Scores: (min: 10.0, avg: 16.157894736842106, max: 32.0)

Episode: 20, exploration: 0.9305225196747907, score: 12.0
Scores: (min: 10.0, avg: 15.95, max: 32.0)

Episode: 21, exploration: 0.9272709779140498, score: 14.0
Scores: (min: 10.0, avg: 15.857142857142858, max: 32.0)

Episode: 22, exploration: 0.9228763369521017, score: 19.0
Scores: (min: 10.0, avg: 16.0, max: 32.0)

Episode: 23, exploration: 0.9168963492494921, score: 26.0
Scores: (min: 10.0, avg: 16.434782608695652, max: 32.0)

Episode: 24, exploration: 0.9075450002490781, score: 41.0
Scores: (min: 10.0, avg: 17.458333333333332, max: 41.0)

Episode: 25, exploration: 0.9043737492522802, score: 14.0
Scores: (min: 10.0, avg: 17.32, max: 41.0)

Episode: 26, exploration: 0.9007630291515462, score: 16.0
Scores: (min: 10.0, avg: 17.26923076923077, max: 41.0)

Episode: 27, exploration: 0.8964940180434633, score: 19.0
Scores: (min: 10.0, avg: 17.333333333333332, max: 41.0)

Episode: 28, exploration: 0.8938082309471923, score: 12.0
Scores: (min: 10.0, avg: 17.142857142857142, max: 41.0)

Episode: 29, exploration: 0.8915762225303167, score: 10.0
Scores: (min: 10.0, avg: 16.896551724137932, max: 41.0)

Episode: 30, exploration: 0.8855776012948512, score: 27.0
Scores: (min: 10.0, avg: 17.233333333333334, max: 41.0)

Episode: 31, exploration: 0.8796193394317169, score: 27.0
Scores: (min: 10.0, avg: 17.548387096774192, max: 41.0)

Episode: 32, exploration: 0.8719552912806848, score: 35.0
Scores: (min: 10.0, avg: 18.09375, max: 41.0)

Episode: 33, exploration: 0.8667385732223467, score: 24.0
Scores: (min: 10.0, avg: 18.272727272727273, max: 41.0)

Episode: 34, exploration: 0.8639258943391006, score: 13.0
Scores: (min: 10.0, avg: 18.11764705882353, max: 41.0)

Episode: 35, exploration: 0.8609070623772361, score: 14.0
Scores: (min: 10.0, avg: 18.0, max: 41.0)

Episode: 36, exploration: 0.8568269417535278, score: 19.0
Scores: (min: 10.0, avg: 18.02777777777778, max: 41.0)

Episode: 37, exploration: 0.8534060526974293, score: 16.0
Scores: (min: 10.0, avg: 17.972972972972972, max: 41.0)

Episode: 38, exploration: 0.8495738752849367, score: 18.0
Scores: (min: 10.0, avg: 17.973684210526315, max: 41.0)

Episode: 39, exploration: 0.8468168980687414, score: 13.0
Scores: (min: 10.0, avg: 17.846153846153847, max: 41.0)

Episode: 40, exploration: 0.8425928544611505, score: 20.0
Scores: (min: 10.0, avg: 17.9, max: 41.0)

Episode: 41, exploration: 0.8373424174977014, score: 25.0
Scores: (min: 10.0, avg: 18.073170731707318, max: 41.0)

Episode: 42, exploration: 0.8333739774464557, score: 19.0
Scores: (min: 10.0, avg: 18.095238095238095, max: 41.0)

Episode: 43, exploration: 0.8281809859412528, score: 25.0
Scores: (min: 10.0, avg: 18.25581395348837, max: 41.0)

Episode: 44, exploration: 0.8261128611832628, score: 10.0
Scores: (min: 10.0, avg: 18.068181818181817, max: 41.0)

Episode: 45, exploration: 0.8207598744904205, score: 26.0
Scores: (min: 10.0, avg: 18.244444444444444, max: 41.0)

Episode: 46, exploration: 0.8160534607940148, score: 23.0
Scores: (min: 10.0, avg: 18.347826086956523, max: 41.0)

Episode: 47, exploration: 0.8095502676352744, score: 32.0
Scores: (min: 10.0, avg: 18.638297872340427, max: 41.0)

Episode: 48, exploration: 0.8075286673090714, score: 10.0
Scores: (min: 10.0, avg: 18.458333333333332, max: 41.0)

Episode: 49, exploration: 0.8020955271135873, score: 27.0
Scores: (min: 10.0, avg: 18.632653061224488, max: 41.0)

Episode: 50, exploration: 0.7998925195505305, score: 11.0
Scores: (min: 10.0, avg: 18.48, max: 41.0)

Episode: 51, exploration: 0.7968981662144028, score: 15.0
Scores: (min: 10.0, avg: 18.41176470588235, max: 41.0)

Episode: 52, exploration: 0.7951069373157578, score: 9.0
Scores: (min: 9.0, avg: 18.23076923076923, max: 41.0)

Episode: 53, exploration: 0.7893625425367928, score: 29.0
Scores: (min: 9.0, avg: 18.433962264150942, max: 41.0)

Episode: 54, exploration: 0.7850324260030478, score: 22.0
Scores: (min: 9.0, avg: 18.5, max: 41.0)

Episode: 55, exploration: 0.7820937006039258, score: 15.0
Scores: (min: 9.0, avg: 18.436363636363637, max: 41.0)

Episode: 56, exploration: 0.7778034579316053, score: 22.0
Scores: (min: 9.0, avg: 18.5, max: 41.0)

Episode: 57, exploration: 0.7748917937740032, score: 15.0
Scores: (min: 9.0, avg: 18.43859649122807, max: 41.0)

Episode: 58, exploration: 0.7729567422204519, score: 10.0
Scores: (min: 9.0, avg: 18.29310344827586, max: 41.0)

Episode: 59, exploration: 0.7702557854209812, score: 14.0
Scores: (min: 9.0, avg: 18.220338983050848, max: 41.0)

Episode: 60, exploration: 0.7666052908984378, score: 19.0
Scores: (min: 9.0, avg: 18.233333333333334, max: 41.0)

Episode: 61, exploration: 0.7624000112378296, score: 22.0
Scores: (min: 9.0, avg: 18.295081967213115, max: 41.0)

Episode: 62, exploration: 0.7591662834967481, score: 17.0
Scores: (min: 9.0, avg: 18.274193548387096, max: 41.0)

Episode: 63, exploration: 0.756702690620611, score: 13.0
Scores: (min: 9.0, avg: 18.19047619047619, max: 41.0)

Episode: 64, exploration: 0.7534931281254084, score: 17.0
Scores: (min: 9.0, avg: 18.171875, max: 41.0)

Episode: 65, exploration: 0.7480493798846974, score: 29.0
Scores: (min: 9.0, avg: 18.338461538461537, max: 41.0)

Episode: 66, exploration: 0.743202223322607, score: 26.0
Scores: (min: 9.0, avg: 18.454545454545453, max: 41.0)

Episode: 67, exploration: 0.7413463066276591, score: 10.0
Scores: (min: 9.0, avg: 18.328358208955223, max: 41.0)

Episode: 68, exploration: 0.7394950245081612, score: 10.0
Scores: (min: 9.0, avg: 18.205882352941178, max: 41.0)

Episode: 69, exploration: 0.7370952674142003, score: 13.0
Scores: (min: 9.0, avg: 18.130434782608695, max: 41.0)

Episode: 70, exploration: 0.734887019597596, score: 12.0
Scores: (min: 9.0, avg: 18.042857142857144, max: 41.0)

Episode: 71, exploration: 0.7321360107495001, score: 15.0
Scores: (min: 9.0, avg: 18.0, max: 41.0)

Episode: 72, exploration: 0.728666178328135, score: 19.0
Scores: (min: 9.0, avg: 18.01388888888889, max: 41.0)

Episode: 73, exploration: 0.7268465608902898, score: 10.0
Scores: (min: 9.0, avg: 17.904109589041095, max: 41.0)

Episode: 74, exploration: 0.7246690169525525, score: 12.0
Scores: (min: 9.0, avg: 17.824324324324323, max: 41.0)

Episode: 75, exploration: 0.7232209464555399, score: 8.0
Scores: (min: 8.0, avg: 17.69333333333333, max: 41.0)

Episode: 76, exploration: 0.7212345730611684, score: 11.0
Scores: (min: 8.0, avg: 17.605263157894736, max: 41.0)

Episode: 77, exploration: 0.7185346713903917, score: 15.0
Scores: (min: 8.0, avg: 17.571428571428573, max: 41.0)

Episode: 78, exploration: 0.7137002924227832, score: 27.0
Scores: (min: 8.0, avg: 17.692307692307693, max: 41.0)

Episode: 79, exploration: 0.7106731250560376, score: 17.0
Scores: (min: 8.0, avg: 17.68354430379747, max: 41.0)

Episode: 80, exploration: 0.7078357563909113, score: 16.0
Scores: (min: 8.0, avg: 17.6625, max: 41.0)

Episode: 81, exploration: 0.7044810908363346, score: 19.0
Scores: (min: 8.0, avg: 17.679012345679013, max: 41.0)

Episode: 82, exploration: 0.7021949584902513, score: 13.0
Scores: (min: 8.0, avg: 17.621951219512194, max: 41.0)

Episode: 83, exploration: 0.6988670265249949, score: 19.0
Scores: (min: 8.0, avg: 17.63855421686747, max: 41.0)

Episode: 84, exploration: 0.695728798919367, score: 18.0
Scores: (min: 8.0, avg: 17.642857142857142, max: 41.0)

Episode: 85, exploration: 0.6934710688936784, score: 13.0
Scores: (min: 8.0, avg: 17.58823529411765, max: 41.0)

Episode: 86, exploration: 0.6901844822993888, score: 19.0
Scores: (min: 8.0, avg: 17.6046511627907, max: 41.0)

Episode: 87, exploration: 0.687944744298932, score: 13.0
Scores: (min: 8.0, avg: 17.551724137931036, max: 41.0)

Episode: 88, exploration: 0.6851981188926901, score: 16.0
Scores: (min: 8.0, avg: 17.53409090909091, max: 41.0)

Episode: 89, exploration: 0.6826331176918189, score: 15.0
Scores: (min: 8.0, avg: 17.50561797752809, max: 41.0)

Episode: 90, exploration: 0.6800777184308525, score: 15.0
Scores: (min: 8.0, avg: 17.477777777777778, max: 41.0)

Episode: 91, exploration: 0.6771931615686213, score: 17.0
Scores: (min: 8.0, avg: 17.47252747252747, max: 41.0)

Episode: 92, exploration: 0.6726369327495433, score: 27.0
Scores: (min: 8.0, avg: 17.57608695652174, max: 41.0)

Episode: 93, exploration: 0.6667763046236481, score: 35.0
Scores: (min: 8.0, avg: 17.763440860215052, max: 41.0)

Episode: 94, exploration: 0.663118645505847, score: 22.0
Scores: (min: 8.0, avg: 17.80851063829787, max: 41.0)

Episode: 95, exploration: 0.6593161805309498, score: 23.0
Scores: (min: 8.0, avg: 17.86315789473684, max: 41.0)

Episode: 96, exploration: 0.6571766141661259, score: 13.0
Scores: (min: 8.0, avg: 17.8125, max: 41.0)

Episode: 97, exploration: 0.6517765380081108, score: 33.0
Scores: (min: 8.0, avg: 17.969072164948454, max: 41.0)

Episode: 98, exploration: 0.6499863913309165, score: 11.0
Scores: (min: 8.0, avg: 17.897959183673468, max: 41.0)

Episode: 99, exploration: 0.6472294671520202, score: 17.0
Scores: (min: 8.0, avg: 17.88888888888889, max: 41.0)

Episode: 100, exploration: 0.644806599495631, score: 15.0
Scores: (min: 8.0, avg: 17.86, max: 41.0)

Episode: 101, exploration: 0.6409488624472279, score: 24.0
Scores: (min: 8.0, avg: 17.9, max: 41.0)

Episode: 102, exploration: 0.639028657571921, score: 12.0
Scores: (min: 8.0, avg: 17.82, max: 41.0)

Episode: 103, exploration: 0.6371142053969919, score: 12.0
Scores: (min: 8.0, avg: 17.77, max: 41.0)

Episode: 104, exploration: 0.6353643297704925, score: 11.0
Scores: (min: 8.0, avg: 17.77, max: 41.0)

Episode: 105, exploration: 0.6328276321289608, score: 16.0
Scores: (min: 8.0, avg: 17.8, max: 41.0)

Episode: 106, exploration: 0.6293562013918421, score: 22.0
Scores: (min: 8.0, avg: 17.83, max: 41.0)

Episode: 107, exploration: 0.6274707267198021, score: 12.0
Scores: (min: 8.0, avg: 17.77, max: 41.0)

Episode: 108, exploration: 0.6248093029713736, score: 17.0
Scores: (min: 8.0, avg: 17.81, max: 41.0)

Episode: 109, exploration: 0.622470363957608, score: 15.0
Scores: (min: 8.0, avg: 17.79, max: 41.0)

Episode: 110, exploration: 0.6196751917635926, score: 18.0
Scores: (min: 8.0, avg: 17.73, max: 41.0)

Episode: 111, exploration: 0.6179732135229132, score: 11.0
Scores: (min: 8.0, avg: 17.73, max: 41.0)

Episode: 112, exploration: 0.6139689151468019, score: 26.0
Scores: (min: 8.0, avg: 17.89, max: 41.0)

Episode: 113, exploration: 0.6110591153060513, score: 19.0
Scores: (min: 8.0, avg: 17.98, max: 41.0)

Episode: 114, exploration: 0.6048269746155708, score: 41.0
Scores: (min: 8.0, avg: 18.21, max: 41.0)

Episode: 115, exploration: 0.6027135167202451, score: 14.0
Scores: (min: 8.0, avg: 18.22, max: 41.0)

Episode: 116, exploration: 0.5991076133922649, score: 24.0
Scores: (min: 8.0, avg: 18.32, max: 41.0)

Episode: 117, exploration: 0.5950767525850705, score: 27.0
Scores: (min: 8.0, avg: 18.27, max: 41.0)

Episode: 118, exploration: 0.59299736506788, score: 14.0
Scores: (min: 8.0, avg: 18.3, max: 41.0)

Episode: 119, exploration: 0.5912208170495252, score: 12.0
Scores: (min: 8.0, avg: 18.26, max: 41.0)

Episode: 120, exploration: 0.5882717231915396, score: 20.0
Scores: (min: 8.0, avg: 18.34, max: 41.0)

Episode: 121, exploration: 0.586362705288621, score: 13.0
Scores: (min: 8.0, avg: 18.33, max: 41.0)

Episode: 122, exploration: 0.5835837403208864, score: 19.0
Scores: (min: 8.0, avg: 18.33, max: 41.0)

Episode: 123, exploration: 0.5799472631952786, score: 25.0
Scores: (min: 8.0, avg: 18.32, max: 41.0)

Episode: 124, exploration: 0.5733152478197877, score: 46.0
Scores: (min: 8.0, avg: 18.37, max: 46.0)

Episode: 125, exploration: 0.5710262816804327, score: 16.0
Scores: (min: 8.0, avg: 18.39, max: 46.0)

Episode: 126, exploration: 0.5690309341610479, score: 14.0
Scores: (min: 8.0, avg: 18.37, max: 46.0)

Episode: 127, exploration: 0.5659094657312127, score: 22.0
Scores: (min: 8.0, avg: 18.4, max: 46.0)

Episode: 128, exploration: 0.5629458568507748, score: 21.0
Scores: (min: 8.0, avg: 18.49, max: 46.0)

Episode: 129, exploration: 0.5613996894201989, score: 11.0
Scores: (min: 8.0, avg: 18.5, max: 46.0)

Episode: 130, exploration: 0.558878752051198, score: 18.0
Scores: (min: 8.0, avg: 18.41, max: 46.0)

Episode: 131, exploration: 0.5547023205327658, score: 30.0
Scores: (min: 8.0, avg: 18.44, max: 46.0)

Episode: 132, exploration: 0.5517974023034758, score: 21.0
Scores: (min: 8.0, avg: 18.3, max: 46.0)

