Results of experiments stored in: ./experiments/CartPole-v1_7

Episode: 1, exploration: 1.0, score: 36.0
Scores: (min: 36.0, avg: 36.0, max: 36.0)

Episode: 2, exploration: 1.0, score: 21.0
Scores: (min: 21.0, avg: 28.5, max: 36.0)

Episode: 3, exploration: 1.0, score: 15.0
Scores: (min: 15.0, avg: 24.0, max: 36.0)

Episode: 4, exploration: 1.0, score: 22.0
Scores: (min: 15.0, avg: 23.5, max: 36.0)

Episode: 5, exploration: 1.0, score: 31.0
Scores: (min: 15.0, avg: 25.0, max: 36.0)

Episode: 6, exploration: 1.0, score: 17.0
Scores: (min: 15.0, avg: 23.666666666666668, max: 36.0)

Episode: 7, exploration: 1.0, score: 42.0
Scores: (min: 15.0, avg: 26.285714285714285, max: 42.0)

Episode: 8, exploration: 1.0, score: 45.0
Scores: (min: 15.0, avg: 28.625, max: 45.0)

Episode: 9, exploration: 1.0, score: 17.0
Scores: (min: 15.0, avg: 27.333333333333332, max: 45.0)

Episode: 10, exploration: 1.0, score: 58.0
Scores: (min: 15.0, avg: 30.4, max: 58.0)

Episode: 11, exploration: 1.0, score: 9.0
Scores: (min: 9.0, avg: 28.454545454545453, max: 58.0)

Episode: 12, exploration: 1.0, score: 16.0
Scores: (min: 9.0, avg: 27.416666666666668, max: 58.0)

Episode: 13, exploration: 1.0, score: 19.0
Scores: (min: 9.0, avg: 26.76923076923077, max: 58.0)

Episode: 14, exploration: 1.0, score: 15.0
Scores: (min: 9.0, avg: 25.928571428571427, max: 58.0)

Episode: 15, exploration: 1.0, score: 25.0
Scores: (min: 9.0, avg: 25.866666666666667, max: 58.0)

Episode: 16, exploration: 1.0, score: 79.0
Scores: (min: 9.0, avg: 29.1875, max: 79.0)

Episode: 17, exploration: 1.0, score: 17.0
Scores: (min: 9.0, avg: 28.470588235294116, max: 79.0)

Episode: 18, exploration: 1.0, score: 29.0
Scores: (min: 9.0, avg: 28.5, max: 79.0)

Episode: 19, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 28.105263157894736, max: 79.0)

Episode: 20, exploration: 1.0, score: 44.0
Scores: (min: 9.0, avg: 28.9, max: 79.0)

Episode: 21, exploration: 1.0, score: 18.0
Scores: (min: 9.0, avg: 28.38095238095238, max: 79.0)

Episode: 22, exploration: 1.0, score: 12.0
Scores: (min: 9.0, avg: 27.636363636363637, max: 79.0)

Episode: 23, exploration: 1.0, score: 10.0
Scores: (min: 9.0, avg: 26.869565217391305, max: 79.0)

Episode: 24, exploration: 1.0, score: 40.0
Scores: (min: 9.0, avg: 27.416666666666668, max: 79.0)

Episode: 25, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 27.16, max: 79.0)

Episode: 26, exploration: 1.0, score: 14.0
Scores: (min: 9.0, avg: 26.653846153846153, max: 79.0)

Episode: 27, exploration: 1.0, score: 9.0
Scores: (min: 9.0, avg: 26.0, max: 79.0)

Episode: 28, exploration: 1.0, score: 15.0
Scores: (min: 9.0, avg: 25.607142857142858, max: 79.0)

Episode: 29, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 25.448275862068964, max: 79.0)

Episode: 30, exploration: 1.0, score: 10.0
Scores: (min: 9.0, avg: 24.933333333333334, max: 79.0)

Episode: 31, exploration: 1.0, score: 16.0
Scores: (min: 9.0, avg: 24.64516129032258, max: 79.0)

Episode: 32, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 24.53125, max: 79.0)

Episode: 33, exploration: 1.0, score: 12.0
Scores: (min: 9.0, avg: 24.151515151515152, max: 79.0)

Episode: 34, exploration: 1.0, score: 9.0
Scores: (min: 9.0, avg: 23.705882352941178, max: 79.0)

Episode: 35, exploration: 1.0, score: 36.0
Scores: (min: 9.0, avg: 24.057142857142857, max: 79.0)

Episode: 36, exploration: 1.0, score: 28.0
Scores: (min: 9.0, avg: 24.166666666666668, max: 79.0)

Episode: 37, exploration: 1.0, score: 14.0
Scores: (min: 9.0, avg: 23.89189189189189, max: 79.0)

Episode: 38, exploration: 1.0, score: 46.0
Scores: (min: 9.0, avg: 24.473684210526315, max: 79.0)

Episode: 39, exploration: 1.0, score: 12.0
Scores: (min: 9.0, avg: 24.153846153846153, max: 79.0)

Episode: 40, exploration: 1.0, score: 15.0
Scores: (min: 9.0, avg: 23.925, max: 79.0)

Episode: 41, exploration: 1.0, score: 39.0
Scores: (min: 9.0, avg: 24.29268292682927, max: 79.0)

Episode: 42, exploration: 1.0, score: 14.0
Scores: (min: 9.0, avg: 24.047619047619047, max: 79.0)

Episode: 43, exploration: 1.0, score: 39.0
Scores: (min: 9.0, avg: 24.3953488372093, max: 79.0)

Episode: 44, exploration: 1.0, score: 28.0
Scores: (min: 9.0, avg: 24.477272727272727, max: 79.0)

Episode: 45, exploration: 1.0, score: 13.0
Scores: (min: 9.0, avg: 24.22222222222222, max: 79.0)

Episode: 46, exploration: 1.0, score: 15.0
Scores: (min: 9.0, avg: 24.02173913043478, max: 79.0)

Episode: 47, exploration: 1.0, score: 12.0
Scores: (min: 9.0, avg: 23.76595744680851, max: 79.0)

Episode: 48, exploration: 1.0, score: 22.0
Scores: (min: 9.0, avg: 23.729166666666668, max: 79.0)

Episode: 49, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 23.6734693877551, max: 79.0)

Episode: 50, exploration: 1.0, score: 25.0
Scores: (min: 9.0, avg: 23.7, max: 79.0)

Episode: 51, exploration: 1.0, score: 26.0
Scores: (min: 9.0, avg: 23.745098039215687, max: 79.0)

Episode: 52, exploration: 1.0, score: 13.0
Scores: (min: 9.0, avg: 23.53846153846154, max: 79.0)

Episode: 53, exploration: 1.0, score: 11.0
Scores: (min: 9.0, avg: 23.30188679245283, max: 79.0)

Episode: 54, exploration: 1.0, score: 33.0
Scores: (min: 9.0, avg: 23.48148148148148, max: 79.0)

Episode: 55, exploration: 1.0, score: 16.0
Scores: (min: 9.0, avg: 23.345454545454544, max: 79.0)

Episode: 56, exploration: 1.0, score: 42.0
Scores: (min: 9.0, avg: 23.678571428571427, max: 79.0)

Episode: 57, exploration: 1.0, score: 27.0
Scores: (min: 9.0, avg: 23.736842105263158, max: 79.0)

Episode: 58, exploration: 1.0, score: 10.0
Scores: (min: 9.0, avg: 23.5, max: 79.0)

Episode: 59, exploration: 1.0, score: 24.0
Scores: (min: 9.0, avg: 23.508474576271187, max: 79.0)

Episode: 60, exploration: 1.0, score: 32.0
Scores: (min: 9.0, avg: 23.65, max: 79.0)

Episode: 61, exploration: 1.0, score: 16.0
Scores: (min: 9.0, avg: 23.524590163934427, max: 79.0)

Episode: 62, exploration: 1.0, score: 12.0
Scores: (min: 9.0, avg: 23.338709677419356, max: 79.0)

Episode: 63, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 23.3015873015873, max: 79.0)

Episode: 64, exploration: 1.0, score: 21.0
Scores: (min: 9.0, avg: 23.265625, max: 79.0)

Episode: 65, exploration: 1.0, score: 25.0
Scores: (min: 9.0, avg: 23.29230769230769, max: 79.0)

Episode: 66, exploration: 1.0, score: 11.0
Scores: (min: 9.0, avg: 23.106060606060606, max: 79.0)

Episode: 67, exploration: 1.0, score: 34.0
Scores: (min: 9.0, avg: 23.26865671641791, max: 79.0)

Episode: 68, exploration: 1.0, score: 19.0
Scores: (min: 9.0, avg: 23.205882352941178, max: 79.0)

Episode: 69, exploration: 1.0, score: 23.0
Scores: (min: 9.0, avg: 23.202898550724637, max: 79.0)

Episode: 70, exploration: 1.0, score: 17.0
Scores: (min: 9.0, avg: 23.114285714285714, max: 79.0)

Episode: 71, exploration: 1.0, score: 12.0
Scores: (min: 9.0, avg: 22.95774647887324, max: 79.0)

Episode: 72, exploration: 1.0, score: 23.0
Scores: (min: 9.0, avg: 22.958333333333332, max: 79.0)

Episode: 73, exploration: 1.0, score: 16.0
Scores: (min: 9.0, avg: 22.863013698630137, max: 79.0)

Episode: 74, exploration: 1.0, score: 53.0
Scores: (min: 9.0, avg: 23.27027027027027, max: 79.0)

Episode: 75, exploration: 1.0, score: 16.0
Scores: (min: 9.0, avg: 23.173333333333332, max: 79.0)

Episode: 76, exploration: 1.0, score: 92.0
Scores: (min: 9.0, avg: 24.07894736842105, max: 92.0)

Episode: 77, exploration: 1.0, score: 35.0
Scores: (min: 9.0, avg: 24.22077922077922, max: 92.0)

Episode: 78, exploration: 1.0, score: 11.0
Scores: (min: 9.0, avg: 24.05128205128205, max: 92.0)

Episode: 79, exploration: 1.0, score: 17.0
Scores: (min: 9.0, avg: 23.962025316455698, max: 92.0)

Episode: 80, exploration: 1.0, score: 22.0
Scores: (min: 9.0, avg: 23.9375, max: 92.0)

Episode: 81, exploration: 1.0, score: 20.0
