Results of experiments stored in: ./experiments/CartPole-v1_9

Scores: (min: 9.0, avg: 21.735849056603772, max: 50.0)

Episode: 11401, exploration: 0.9976727007200502, score: 27.0
Scores: (min: 9.0, avg: 21.833333333333332, max: 50.0)

Episode: 11402, exploration: 0.9976527473658031, score: 9.0
Scores: (min: 9.0, avg: 21.6, max: 50.0)

Episode: 11403, exploration: 0.9976028657260778, score: 24.0
Scores: (min: 9.0, avg: 21.642857142857142, max: 50.0)

Episode: 11404, exploration: 0.9975829137685236, score: 12.0
Scores: (min: 9.0, avg: 21.473684210526315, max: 50.0)

Episode: 11405, exploration: 0.9975629622100066, score: 12.0
Scores: (min: 9.0, avg: 21.310344827586206, max: 50.0)

Episode: 11406, exploration: 0.9975330356204083, score: 13.0
Scores: (min: 9.0, avg: 21.16949152542373, max: 50.0)

Episode: 11407, exploration: 0.9974931348974995, score: 20.0
Scores: (min: 9.0, avg: 21.15, max: 50.0)

Episode: 11408, exploration: 0.9973734423045478, score: 60.0
Scores: (min: 9.0, avg: 21.78688524590164, max: 60.0)

Episode: 11409, exploration: 0.9973534949354391, score: 12.0
Scores: (min: 9.0, avg: 21.629032258064516, max: 60.0)

Episode: 11410, exploration: 0.9973235746297963, score: 13.0
Scores: (min: 9.0, avg: 21.49206349206349, max: 60.0)

Episode: 11411, exploration: 0.9972836822852014, score: 20.0
Model Saved
Scores: (min: 9.0, avg: 21.46875, max: 60.0)

Episode: 11412, exploration: 0.9972138745217026, score: 33.0
Scores: (min: 9.0, avg: 21.646153846153847, max: 60.0)

Episode: 11413, exploration: 0.9971839584046303, score: 18.0
Scores: (min: 9.0, avg: 21.59090909090909, max: 60.0)

Episode: 11414, exploration: 0.9971540431850325, score: 16.0
Scores: (min: 9.0, avg: 21.507462686567163, max: 60.0)

Episode: 11415, exploration: 0.9971141576215938, score: 16.0
Scores: (min: 9.0, avg: 21.426470588235293, max: 60.0)

Episode: 11416, exploration: 0.9970643029108172, score: 29.0
Scores: (min: 9.0, avg: 21.536231884057973, max: 60.0)

Episode: 11417, exploration: 0.9970144506927261, score: 21.0
Scores: (min: 9.0, avg: 21.52857142857143, max: 60.0)

Episode: 11418, exploration: 0.9969945105034138, score: 11.0
Scores: (min: 9.0, avg: 21.380281690140844, max: 60.0)

Episode: 11419, exploration: 0.9969646009671962, score: 15.0
Scores: (min: 9.0, avg: 21.291666666666668, max: 60.0)

Episode: 11420, exploration: 0.9969047845865655, score: 29.0
Scores: (min: 9.0, avg: 21.397260273972602, max: 60.0)

Episode: 11421, exploration: 0.9968748777420986, score: 16.0
Scores: (min: 9.0, avg: 21.324324324324323, max: 60.0)

Episode: 11422, exploration: 0.996755259335925, score: 61.0
Scores: (min: 9.0, avg: 21.85333333333333, max: 61.0)

Episode: 11423, exploration: 0.9967054225697037, score: 27.0
Scores: (min: 9.0, avg: 21.92105263157895, max: 61.0)

Episode: 11424, exploration: 0.9966755217060375, score: 15.0
Scores: (min: 9.0, avg: 21.83116883116883, max: 61.0)

Episode: 11425, exploration: 0.9966356552831708, score: 18.0
Scores: (min: 9.0, avg: 21.78205128205128, max: 61.0)

Episode: 11426, exploration: 0.9966157226697288, score: 11.0
Scores: (min: 9.0, avg: 21.645569620253166, max: 61.0)

Episode: 11427, exploration: 0.9965559272212724, score: 29.0
Scores: (min: 9.0, avg: 21.7375, max: 61.0)

Episode: 11428, exploration: 0.9965260308424216, score: 13.0
Scores: (min: 9.0, avg: 21.62962962962963, max: 61.0)

Episode: 11429, exploration: 0.9964961353604533, score: 16.0
Scores: (min: 9.0, avg: 21.5609756097561, max: 61.0)

Episode: 11430, exploration: 0.9964263827235857, score: 35.0
Scores: (min: 9.0, avg: 21.72289156626506, max: 61.0)

Episode: 11431, exploration: 0.9964064542955741, score: 13.0
Scores: (min: 9.0, avg: 21.61904761904762, max: 61.0)

Episode: 11432, exploration: 0.9963765624008663, score: 12.0
Scores: (min: 9.0, avg: 21.50588235294118, max: 61.0)

Episode: 11433, exploration: 0.9962769292282015, score: 53.0
Scores: (min: 9.0, avg: 21.872093023255815, max: 61.0)

Episode: 11434, exploration: 0.9962370787487947, score: 20.0
Scores: (min: 9.0, avg: 21.850574712643677, max: 61.0)

Episode: 11435, exploration: 0.9961972298633832, score: 18.0
Scores: (min: 9.0, avg: 21.806818181818183, max: 61.0)

Episode: 11436, exploration: 0.9961573825719032, score: 18.0
Scores: (min: 9.0, avg: 21.764044943820224, max: 61.0)

Episode: 11437, exploration: 0.9961175368742909, score: 21.0
Scores: (min: 9.0, avg: 21.755555555555556, max: 61.0)

Episode: 11438, exploration: 0.9960976146231654, score: 12.0
Scores: (min: 9.0, avg: 21.64835164835165, max: 61.0)

Episode: 11439, exploration: 0.996037850260415, score: 29.0
Scores: (min: 9.0, avg: 21.72826086956522, max: 61.0)

Episode: 11440, exploration: 0.9960179296030137, score: 11.0
Scores: (min: 9.0, avg: 21.612903225806452, max: 61.0)

Episode: 11441, exploration: 0.9959581700212448, score: 29.0
Scores: (min: 9.0, avg: 21.69148936170213, max: 61.0)

Episode: 11442, exploration: 0.9958486201001484, score: 57.0
Scores: (min: 9.0, avg: 22.063157894736843, max: 61.0)

Episode: 11443, exploration: 0.9958087867528498, score: 20.0
Scores: (min: 9.0, avg: 22.041666666666668, max: 61.0)

Episode: 11444, exploration: 0.9957490397193381, score: 26.0
Scores: (min: 9.0, avg: 22.082474226804123, max: 61.0)

Episode: 11445, exploration: 0.9957291248381188, score: 12.0
Scores: (min: 9.0, avg: 21.979591836734695, max: 61.0)

Episode: 11446, exploration: 0.9956793393775963, score: 26.0
Scores: (min: 9.0, avg: 22.02020202020202, max: 61.0)

Episode: 11447, exploration: 0.995639512801425, score: 17.0
Scores: (min: 9.0, avg: 21.97, max: 61.0)

Episode: 11448, exploration: 0.995619600110733, score: 11.0
Scores: (min: 9.0, avg: 21.9, max: 61.0)

Episode: 11449, exploration: 0.9955797759240966, score: 20.0
Scores: (min: 9.0, avg: 21.92, max: 61.0)

Episode: 11450, exploration: 0.9955598644281363, score: 9.0
Scores: (min: 9.0, avg: 21.89, max: 61.0)

Episode: 11451, exploration: 0.9955399533304038, score: 10.0
Scores: (min: 9.0, avg: 21.7, max: 61.0)

Episode: 11452, exploration: 0.9954901773282674, score: 28.0
Scores: (min: 9.0, avg: 21.84, max: 61.0)

Episode: 11453, exploration: 0.9954702676242699, score: 10.0
Scores: (min: 9.0, avg: 21.65, max: 61.0)

Episode: 11454, exploration: 0.9954105409013985, score: 31.0
Scores: (min: 9.0, avg: 21.82, max: 61.0)

Episode: 11455, exploration: 0.9953110043265369, score: 49.0
Scores: (min: 9.0, avg: 22.17, max: 61.0)

Episode: 11456, exploration: 0.9952413346463526, score: 33.0
Scores: (min: 9.0, avg: 22.29, max: 61.0)

Episode: 11457, exploration: 0.9952114777048847, score: 17.0
Scores: (min: 9.0, avg: 22.14, max: 61.0)

Episode: 11458, exploration: 0.9950821079751485, score: 66.0
Scores: (min: 9.0, avg: 22.58, max: 66.0)

Episode: 11459, exploration: 0.995042305287875, score: 17.0
Scores: (min: 9.0, avg: 22.58, max: 66.0)

Episode: 11460, exploration: 0.9950224045412736, score: 11.0
Scores: (min: 9.0, avg: 22.55, max: 66.0)

Episode: 11461, exploration: 0.9949826042421016, score: 20.0
Scores: (min: 9.0, avg: 22.48, max: 66.0)

Episode: 11462, exploration: 0.9949030084196582, score: 40.0
Scores: (min: 9.0, avg: 22.4, max: 66.0)

Episode: 11463, exploration: 0.9948632128962596, score: 18.0
Scores: (min: 9.0, avg: 22.19, max: 66.0)

Episode: 11464, exploration: 0.994803522595761, score: 33.0
Scores: (min: 9.0, avg: 22.29, max: 66.0)

Episode: 11465, exploration: 0.9947736787885233, score: 16.0
Scores: (min: 9.0, avg: 22.26, max: 66.0)

Episode: 11466, exploration: 0.9947438358765909, score: 14.0
Scores: (min: 9.0, avg: 22.2, max: 66.0)

Episode: 11467, exploration: 0.9947239410993478, score: 9.0
Scores: (min: 9.0, avg: 22.15, max: 66.0)

Episode: 11468, exploration: 0.9946841527385344, score: 18.0
Scores: (min: 9.0, avg: 22.08, max: 66.0)

Episode: 11469, exploration: 0.9946642591549482, score: 13.0
Scores: (min: 9.0, avg: 22.05, max: 66.0)

Episode: 11470, exploration: 0.9946244731813769, score: 18.0
Scores: (min: 9.0, avg: 21.81, max: 66.0)

Episode: 11471, exploration: 0.9946045807913759, score: 13.0
Scores: (min: 9.0, avg: 21.72, max: 66.0)

Episode: 11472, exploration: 0.9945349605593556, score: 33.0
Scores: (min: 9.0, avg: 21.93, max: 66.0)

Episode: 11473, exploration: 0.994515069959598, score: 11.0
Scores: (min: 9.0, avg: 21.87, max: 66.0)

Episode: 11474, exploration: 0.9944752899535049, score: 18.0
Scores: (min: 9.0, avg: 21.9, max: 66.0)

Episode: 11475, exploration: 0.9944255671834727, score: 26.0
Model Saved
Scores: (min: 9.0, avg: 22.0, max: 66.0)

Episode: 11476, exploration: 0.994395734714784, score: 15.0
Scores: (min: 9.0, avg: 21.65, max: 66.0)

Episode: 11477, exploration: 0.9943161858402595, score: 39.0
Scores: (min: 9.0, avg: 21.79, max: 66.0)

Episode: 11478, exploration: 0.9942863566529783, score: 16.0
Scores: (min: 9.0, avg: 21.64, max: 66.0)

Episode: 11479, exploration: 0.9942366433294223, score: 24.0
Scores: (min: 9.0, avg: 21.63, max: 66.0)

Episode: 11480, exploration: 0.9942068165283926, score: 16.0
Scores: (min: 9.0, avg: 21.51, max: 66.0)

Episode: 11481, exploration: 0.9941769906221578, score: 17.0
Scores: (min: 9.0, avg: 21.5, max: 66.0)

Episode: 11482, exploration: 0.9940974592465481, score: 40.0
Scores: (min: 9.0, avg: 21.71, max: 66.0)

Episode: 11483, exploration: 0.9940477553676736, score: 22.0
Scores: (min: 9.0, avg: 21.77, max: 66.0)

Episode: 11484, exploration: 0.994017934233226, score: 17.0
Scores: (min: 9.0, avg: 21.6, max: 66.0)

Episode: 11485, exploration: 0.9939085977273955, score: 56.0
Scores: (min: 9.0, avg: 22.01, max: 66.0)

Episode: 11486, exploration: 0.9938290878224659, score: 39.0
Scores: (min: 9.0, avg: 22.25, max: 66.0)

Episode: 11487, exploration: 0.9937893352552467, score: 18.0
Scores: (min: 9.0, avg: 22.23, max: 66.0)

Episode: 11488, exploration: 0.993759521873325, score: 18.0
Scores: (min: 9.0, avg: 22.25, max: 66.0)

Episode: 11489, exploration: 0.9936700870938074, score: 45.0
Scores: (min: 9.0, avg: 22.55, max: 66.0)

Episode: 11490, exploration: 0.993630340886522, score: 20.0
Scores: (min: 9.0, avg: 22.64, max: 66.0)

Episode: 11491, exploration: 0.993590596269061, score: 18.0
Scores: (min: 9.0, avg: 22.57, max: 66.0)

Episode: 11492, exploration: 0.993521047013828, score: 34.0
Scores: (min: 9.0, avg: 22.69, max: 66.0)

Episode: 11493, exploration: 0.9934614372412692, score: 31.0
Scores: (min: 9.0, avg: 22.69, max: 66.0)

Episode: 11494, exploration: 0.9934216993798527, score: 21.0
Scores: (min: 9.0, avg: 22.7, max: 66.0)

Episode: 11495, exploration: 0.9933918970268969, score: 13.0
Scores: (min: 9.0, avg: 22.68, max: 66.0)

Episode: 11496, exploration: 0.9933620955680029, score: 15.0
Scores: (min: 9.0, avg: 22.57, max: 66.0)

Episode: 11497, exploration: 0.993342228425428, score: 10.0
Scores: (min: 9.0, avg: 22.46, max: 66.0)

Episode: 11498, exploration: 0.9933124284565771, score: 17.0
Scores: (min: 9.0, avg: 22.46, max: 66.0)

Episode: 11499, exploration: 0.9932528312008188, score: 31.0
Scores: (min: 9.0, avg: 22.58, max: 66.0)

Episode: 11500, exploration: 0.9932230339138577, score: 11.0
Scores: (min: 9.0, avg: 22.6, max: 66.0)

Episode: 11501, exploration: 0.9931932375208063, score: 15.0
Scores: (min: 9.0, avg: 22.48, max: 66.0)

Episode: 11502, exploration: 0.9931733737553753, score: 14.0
Scores: (min: 9.0, avg: 22.53, max: 66.0)

Episode: 11503, exploration: 0.9931435788521137, score: 15.0
Scores: (min: 9.0, avg: 22.44, max: 66.0)

Episode: 11504, exploration: 0.993103853704842, score: 18.0
Scores: (min: 9.0, avg: 22.5, max: 66.0)

