Results of experiments stored in: ./experiments/CartPole-v1_10

Episode: 22502, exploration: 0.9998740068037962, score: 34.0
Scores: (min: 34.0, avg: 34.0, max: 34.0)

Episode: 22503, exploration: 0.9996760495672422, score: 44.0
Scores: (min: 34.0, avg: 39.0, max: 44.0)

Episode: 22504, exploration: 0.9996220680322451, score: 11.0
Scores: (min: 11.0, avg: 29.666666666666668, max: 44.0)

Episode: 22505, exploration: 0.9995321052848395, score: 18.0
Scores: (min: 11.0, avg: 26.75, max: 44.0)

Episode: 22506, exploration: 0.9994781315226936, score: 12.0
Scores: (min: 11.0, avg: 23.8, max: 44.0)

Episode: 22507, exploration: 0.9994061710401863, score: 18.0
Scores: (min: 11.0, avg: 22.833333333333332, max: 44.0)

Episode: 22508, exploration: 0.9992083064267769, score: 44.0
Scores: (min: 11.0, avg: 25.857142857142858, max: 44.0)

Episode: 22509, exploration: 0.9991363653711521, score: 14.0
Scores: (min: 11.0, avg: 24.375, max: 44.0)

Episode: 22510, exploration: 0.9990284634993783, score: 27.0
Scores: (min: 11.0, avg: 24.666666666666668, max: 44.0)

Episode: 22511, exploration: 0.9988666325404703, score: 36.0
Scores: (min: 11.0, avg: 25.8, max: 44.0)

Episode: 22512, exploration: 0.9987587597985315, score: 23.0
Scores: (min: 11.0, avg: 25.545454545454547, max: 44.0)

Episode: 22513, exploration: 0.9986149475975341, score: 32.0
Scores: (min: 11.0, avg: 26.083333333333332, max: 44.0)

Episode: 22514, exploration: 0.9985430492625914, score: 14.0
Scores: (min: 11.0, avg: 25.153846153846153, max: 44.0)

Episode: 22515, exploration: 0.9984531836233792, score: 22.0
Scores: (min: 11.0, avg: 24.928571428571427, max: 44.0)

Episode: 22516, exploration: 0.9983992681219543, score: 12.0
Scores: (min: 11.0, avg: 24.066666666666666, max: 44.0)

Episode: 22517, exploration: 0.9982555076844972, score: 31.0
Scores: (min: 11.0, avg: 24.5, max: 44.0)

Episode: 22518, exploration: 0.9981477009410727, score: 23.0
Scores: (min: 11.0, avg: 24.41176470588235, max: 44.0)

Episode: 22519, exploration: 0.998075836246981, score: 17.0
Scores: (min: 11.0, avg: 24.0, max: 44.0)

Episode: 22520, exploration: 0.9979680489071988, score: 23.0
Scores: (min: 11.0, avg: 23.94736842105263, max: 44.0)

Episode: 22521, exploration: 0.9979321223807799, score: 10.0
Scores: (min: 10.0, avg: 23.25, max: 44.0)

Episode: 22522, exploration: 0.9978602732079255, score: 15.0
Scores: (min: 10.0, avg: 22.857142857142858, max: 44.0)

Episode: 22523, exploration: 0.9977704690163459, score: 22.0
Scores: (min: 10.0, avg: 22.818181818181817, max: 44.0)

Episode: 22524, exploration: 0.9976806729068528, score: 17.0
Scores: (min: 10.0, avg: 22.565217391304348, max: 44.0)

Episode: 22525, exploration: 0.9973754265787887, score: 69.0
Scores: (min: 10.0, avg: 24.5, max: 69.0)

Episode: 22526, exploration: 0.9972318135652259, score: 32.0
Scores: (min: 10.0, avg: 24.8, max: 69.0)

Episode: 22527, exploration: 0.9969805405484738, score: 56.0
Scores: (min: 10.0, avg: 26.0, max: 69.0)

Episode: 22528, exploration: 0.9969267045683436, score: 14.0
Scores: (min: 10.0, avg: 25.555555555555557, max: 69.0)

Episode: 22529, exploration: 0.9968369843949171, score: 20.0
Scores: (min: 10.0, avg: 25.357142857142858, max: 69.0)

Episode: 22530, exploration: 0.996711389717159, score: 27.0
Scores: (min: 10.0, avg: 25.413793103448278, max: 69.0)

Episode: 22531, exploration: 0.9966396284346832, score: 16.0
Scores: (min: 10.0, avg: 25.1, max: 69.0)

Episode: 22532, exploration: 0.9965858108634759, score: 12.0
Scores: (min: 10.0, avg: 24.677419354838708, max: 69.0)

Episode: 22533, exploration: 0.9964781844391937, score: 22.0
Scores: (min: 10.0, avg: 24.59375, max: 69.0)

Episode: 22534, exploration: 0.9964064399470446, score: 16.0
Scores: (min: 10.0, avg: 24.333333333333332, max: 69.0)

Episode: 22535, exploration: 0.9963347006203594, score: 16.0
Scores: (min: 10.0, avg: 24.08823529411765, max: 69.0)

Episode: 22536, exploration: 0.9962808995149576, score: 14.0
Scores: (min: 10.0, avg: 23.8, max: 69.0)

Episode: 22537, exploration: 0.9961553749001109, score: 28.0
Scores: (min: 10.0, avg: 23.916666666666668, max: 69.0)

Episode: 22538, exploration: 0.9959222997155619, score: 50.0
Scores: (min: 10.0, avg: 24.62162162162162, max: 69.0)

Episode: 22539, exploration: 0.9958326699353178, score: 23.0
Scores: (min: 10.0, avg: 24.57894736842105, max: 69.0)

Episode: 22540, exploration: 0.9957072017943484, score: 25.0
Scores: (min: 10.0, avg: 24.58974358974359, max: 69.0)

Episode: 22541, exploration: 0.9956355128114509, score: 18.0
Scores: (min: 10.0, avg: 24.425, max: 69.0)

Episode: 22542, exploration: 0.9955638289900208, score: 15.0
Scores: (min: 10.0, avg: 24.195121951219512, max: 69.0)

Episode: 22543, exploration: 0.9955100695109377, score: 13.0
Scores: (min: 10.0, avg: 23.928571428571427, max: 69.0)

Episode: 22544, exploration: 0.9954383947211813, score: 17.0
Scores: (min: 10.0, avg: 23.767441860465116, max: 69.0)

Episode: 22545, exploration: 0.9953129762562063, score: 26.0
Scores: (min: 10.0, avg: 23.818181818181817, max: 69.0)

Episode: 22546, exploration: 0.9952413156567812, score: 17.0
Scores: (min: 10.0, avg: 23.666666666666668, max: 69.0)

Episode: 22547, exploration: 0.995151747162896, score: 20.0
Scores: (min: 10.0, avg: 23.58695652173913, max: 69.0)

Episode: 22548, exploration: 0.9950621867298851, score: 19.0
Scores: (min: 10.0, avg: 23.48936170212766, max: 69.0)

Episode: 22549, exploration: 0.994972634357023, score: 20.0
Scores: (min: 10.0, avg: 23.416666666666668, max: 69.0)

Episode: 22550, exploration: 0.9949189068018753, score: 14.0
Scores: (min: 10.0, avg: 23.224489795918366, max: 69.0)

Episode: 22551, exploration: 0.9947756475048757, score: 29.0
Scores: (min: 10.0, avg: 23.34, max: 69.0)

Episode: 22552, exploration: 0.994704025592076, score: 18.0
Scores: (min: 10.0, avg: 23.235294117647058, max: 69.0)

Episode: 22553, exploration: 0.9945966023914578, score: 22.0
Scores: (min: 10.0, avg: 23.21153846153846, max: 69.0)

Episode: 22554, exploration: 0.9944533895033693, score: 35.0
Scores: (min: 10.0, avg: 23.433962264150942, max: 69.0)

Episode: 22555, exploration: 0.9943459933702306, score: 21.0
Scores: (min: 10.0, avg: 23.38888888888889, max: 69.0)

Episode: 22556, exploration: 0.9943101972366374, score: 11.0
Scores: (min: 10.0, avg: 23.163636363636364, max: 69.0)

Episode: 22557, exploration: 0.9941849209168696, score: 26.0
Scores: (min: 10.0, avg: 23.214285714285715, max: 69.0)

Episode: 22558, exploration: 0.994041767307179, score: 31.0
Scores: (min: 10.0, avg: 23.350877192982455, max: 69.0)

Episode: 22559, exploration: 0.9939344156272371, score: 26.0
Scores: (min: 10.0, avg: 23.396551724137932, max: 69.0)

Episode: 22560, exploration: 0.9938449647501204, score: 18.0
Scores: (min: 10.0, avg: 23.305084745762713, max: 69.0)

Episode: 22561, exploration: 0.9937197470464805, score: 31.0
Scores: (min: 10.0, avg: 23.433333333333334, max: 69.0)

Episode: 22562, exploration: 0.9936660871460299, score: 12.0
Scores: (min: 10.0, avg: 23.24590163934426, max: 69.0)

Episode: 22563, exploration: 0.9935945451194191, score: 16.0
Scores: (min: 10.0, avg: 23.129032258064516, max: 69.0)

Episode: 22564, exploration: 0.9934335943919103, score: 34.0
Scores: (min: 10.0, avg: 23.3015873015873, max: 69.0)

Episode: 22565, exploration: 0.9932011560352199, score: 53.0
Model Saved
Scores: (min: 10.0, avg: 23.765625, max: 69.0)

Episode: 22566, exploration: 0.9931296474827455, score: 17.0
