Results of experiments stored in: ./experiments/CartPole-v1_16

Scores: (min: 10.0, avg: 21.28, max: 47.0)

Episode: 51 (22396), exploration: 0.9354212231099358, score: 23.0
Scores: (min: 10.0, avg: 21.313725490196077, max: 47.0)

Episode: 52 (22397), exploration: 0.9342525310731716, score: 19.0
Scores: (min: 10.0, avg: 21.26923076923077, max: 47.0)

Episode: 53 (22398), exploration: 0.9335520168326188, score: 12.0
Scores: (min: 10.0, avg: 21.09433962264151, max: 47.0)

Episode: 54 (22399), exploration: 0.9326188148394492, score: 16.0
Scores: (min: 10.0, avg: 21.0, max: 47.0)

Episode: 55 (22400), exploration: 0.9309879554657764, score: 29.0
Scores: (min: 10.0, avg: 21.145454545454545, max: 47.0)

Episode: 56 (22401), exploration: 0.9293599479563962, score: 25.0
Scores: (min: 10.0, avg: 21.214285714285715, max: 47.0)

Episode: 57 (22402), exploration: 0.9254180578713245, score: 70.0
Scores: (min: 10.0, avg: 22.07017543859649, max: 70.0)

Episode: 58 (22403), exploration: 0.9233379482175887, score: 34.0
Scores: (min: 10.0, avg: 22.275862068965516, max: 70.0)

Episode: 59 (22404), exploration: 0.9217233181844409, score: 30.0
Scores: (min: 10.0, avg: 22.406779661016948, max: 70.0)

Episode: 60 (22405), exploration: 0.9198814837576231, score: 30.0
Scores: (min: 10.0, avg: 22.533333333333335, max: 70.0)

Episode: 61 (22406), exploration: 0.91919174510821, score: 13.0
Scores: (min: 10.0, avg: 22.37704918032787, max: 70.0)

Episode: 62 (22407), exploration: 0.9185025236334688, score: 14.0
Scores: (min: 10.0, avg: 22.241935483870968, max: 70.0)

Episode: 63 (22408), exploration: 0.9175843654908791, score: 13.0
Scores: (min: 10.0, avg: 22.095238095238095, max: 70.0)

Episode: 64 (22409), exploration: 0.9168963492494921, score: 12.0
Model Saved
Scores: (min: 10.0, avg: 21.9375, max: 70.0)

Episode: 65 (22410), exploration: 0.9141494392491258, score: 51.0
Scores: (min: 10.0, avg: 22.384615384615383, max: 70.0)

Episode: 66 (22411), exploration: 0.9134639985584254, score: 12.0
Scores: (min: 10.0, avg: 22.227272727272727, max: 70.0)

Episode: 67 (22412), exploration: 0.9109551102410377, score: 41.0
Scores: (min: 10.0, avg: 22.507462686567163, max: 70.0)

Episode: 68 (22413), exploration: 0.9102720646982065, score: 12.0
Scores: (min: 10.0, avg: 22.352941176470587, max: 70.0)

Episode: 69 (22414), exploration: 0.909589531311472, score: 12.0
Scores: (min: 10.0, avg: 22.202898550724637, max: 70.0)

Episode: 70 (22415), exploration: 0.909134793395162, score: 10.0
Scores: (min: 10.0, avg: 22.02857142857143, max: 70.0)

Episode: 71 (22416), exploration: 0.9082259994704971, score: 14.0
Scores: (min: 10.0, avg: 21.91549295774648, max: 70.0)

Episode: 72 (22417), exploration: 0.9064111360726058, score: 33.0
Scores: (min: 10.0, avg: 22.069444444444443, max: 70.0)

Episode: 73 (22418), exploration: 0.9041476558149671, score: 39.0
Scores: (min: 10.0, avg: 22.301369863013697, max: 70.0)

Episode: 74 (22419), exploration: 0.9036956384962882, score: 10.0
Scores: (min: 10.0, avg: 22.135135135135137, max: 70.0)

Episode: 75 (22420), exploration: 0.9025665836167572, score: 21.0
Scores: (min: 10.0, avg: 22.12, max: 70.0)

Episode: 76 (22421), exploration: 0.9014389393503428, score: 20.0
Scores: (min: 10.0, avg: 22.092105263157894, max: 70.0)

Episode: 77 (22422), exploration: 0.9005378383942583, score: 15.0
Scores: (min: 10.0, avg: 22.0, max: 70.0)

Episode: 78 (22423), exploration: 0.898513653286495, score: 36.0
Scores: (min: 10.0, avg: 22.17948717948718, max: 70.0)

Episode: 79 (22424), exploration: 0.8967181975928615, score: 30.0
Scores: (min: 10.0, avg: 22.27848101265823, max: 70.0)

Episode: 80 (22425), exploration: 0.8960458270653178, score: 15.0
Scores: (min: 10.0, avg: 22.1875, max: 70.0)

Episode: 81 (22426), exploration: 0.8944789224381992, score: 26.0
Scores: (min: 10.0, avg: 22.234567901234566, max: 70.0)

Episode: 82 (22427), exploration: 0.8926915291490127, score: 33.0
Scores: (min: 10.0, avg: 22.365853658536587, max: 70.0)

Episode: 83 (22428), exploration: 0.8917991723233974, score: 15.0
Scores: (min: 10.0, avg: 22.27710843373494, max: 70.0)

Episode: 84 (22429), exploration: 0.8906849805931498, score: 21.0
Scores: (min: 10.0, avg: 22.261904761904763, max: 70.0)

Episode: 85 (22430), exploration: 0.8900171338472219, score: 10.0
Scores: (min: 10.0, avg: 22.11764705882353, max: 70.0)

Episode: 86 (22431), exploration: 0.8893497878611426, score: 14.0
Scores: (min: 10.0, avg: 22.023255813953487, max: 70.0)

Episode: 87 (22432), exploration: 0.888460771523871, score: 16.0
Scores: (min: 10.0, avg: 21.95402298850575, max: 70.0)

Episode: 88 (22433), exploration: 0.8851348678428039, score: 61.0
Scores: (min: 10.0, avg: 22.397727272727273, max: 70.0)

Episode: 89 (22434), exploration: 0.8829245184561109, score: 37.0
Scores: (min: 10.0, avg: 22.56179775280899, max: 70.0)

Episode: 90 (22435), exploration: 0.8818214144979253, score: 23.0
Scores: (min: 10.0, avg: 22.566666666666666, max: 70.0)

Episode: 91 (22436), exploration: 0.8809399237113474, score: 15.0
Scores: (min: 10.0, avg: 22.483516483516482, max: 70.0)

Episode: 92 (22437), exploration: 0.8800593140850522, score: 15.0
Scores: (min: 10.0, avg: 22.402173913043477, max: 70.0)

Episode: 93 (22438), exploration: 0.8791795847382098, score: 16.0
Scores: (min: 10.0, avg: 22.333333333333332, max: 70.0)

Episode: 94 (22439), exploration: 0.8785203648820912, score: 14.0
Scores: (min: 10.0, avg: 22.24468085106383, max: 70.0)

Episode: 95 (22440), exploration: 0.8769841068212059, score: 28.0
Scores: (min: 10.0, avg: 22.305263157894736, max: 70.0)

Episode: 96 (22441), exploration: 0.8761074515286167, score: 16.0
Scores: (min: 10.0, avg: 22.239583333333332, max: 70.0)

Episode: 97 (22442), exploration: 0.8741381798549835, score: 33.0
Scores: (min: 10.0, avg: 22.350515463917525, max: 70.0)

Episode: 98 (22443), exploration: 0.8723914324724565, score: 33.0
Scores: (min: 10.0, avg: 22.459183673469386, max: 70.0)

Episode: 99 (22444), exploration: 0.8713014882902173, score: 20.0
Scores: (min: 10.0, avg: 22.434343434343436, max: 70.0)

Episode: 100 (22445), exploration: 0.8678228094805217, score: 65.0
