62.0,62.0,62.0,62.0
31.0,31.0,46.5,62.0
17.0,17.0,36.666666666666664,62.0
23.0,17.0,33.25,62.0
38.0,17.0,34.2,62.0
15.0,15.0,31.0,62.0
48.0,15.0,33.42857142857143,62.0
16.0,15.0,31.25,62.0
12.0,12.0,29.11111111111111,62.0
14.0,12.0,27.6,62.0
15.0,12.0,26.454545454545453,62.0
42.0,12.0,27.75,62.0
20.0,12.0,27.153846153846153,62.0
13.0,12.0,26.142857142857142,62.0
26.0,12.0,26.133333333333333,62.0
22.0,12.0,25.875,62.0
14.0,12.0,25.176470588235293,62.0
21.0,12.0,24.944444444444443,62.0
28.0,12.0,25.105263157894736,62.0
19.0,12.0,24.8,62.0
31.0,12.0,25.095238095238095,62.0
12.0,12.0,24.5,62.0
11.0,11.0,23.91304347826087,62.0
25.0,11.0,23.958333333333332,62.0
11.0,11.0,23.44,62.0
47.0,11.0,24.346153846153847,62.0
32.0,11.0,24.62962962962963,62.0
25.0,11.0,24.642857142857142,62.0
20.0,11.0,24.482758620689655,62.0
28.0,11.0,24.6,62.0
8.0,8.0,24.06451612903226,62.0
14.0,8.0,23.75,62.0
29.0,8.0,23.90909090909091,62.0
15.0,8.0,23.647058823529413,62.0
8.0,8.0,23.2,62.0
23.0,8.0,23.194444444444443,62.0
19.0,8.0,23.08108108108108,62.0
36.0,8.0,23.42105263157895,62.0
15.0,8.0,23.205128205128204,62.0
23.0,8.0,23.2,62.0
16.0,8.0,23.024390243902438,62.0
22.0,8.0,23.0,62.0
33.0,8.0,23.232558139534884,62.0
19.0,8.0,23.136363636363637,62.0
14.0,8.0,22.933333333333334,62.0
41.0,8.0,23.32608695652174,62.0
12.0,8.0,23.085106382978722,62.0
17.0,8.0,22.958333333333332,62.0
50.0,8.0,23.510204081632654,62.0
34.0,8.0,23.72,62.0
15.0,8.0,23.54901960784314,62.0
14.0,8.0,23.365384615384617,62.0
21.0,8.0,23.32075471698113,62.0
23.0,8.0,23.314814814814813,62.0
24.0,8.0,23.327272727272728,62.0
44.0,8.0,23.696428571428573,62.0
27.0,8.0,23.75438596491228,62.0
13.0,8.0,23.56896551724138,62.0
10.0,8.0,23.338983050847457,62.0
15.0,8.0,23.2,62.0
18.0,8.0,23.114754098360656,62.0
15.0,8.0,22.983870967741936,62.0
57.0,8.0,23.523809523809526,62.0
27.0,8.0,23.578125,62.0
24.0,8.0,23.584615384615386,62.0
30.0,8.0,23.681818181818183,62.0
16.0,8.0,23.567164179104477,62.0
17.0,8.0,23.470588235294116,62.0
27.0,8.0,23.52173913043478,62.0
11.0,8.0,23.34285714285714,62.0
17.0,8.0,23.253521126760564,62.0
