Results of experiments stored in: ./experiments/CartPole-v1_8

Episode: 879, exploration: 0.9990003749375039, score: 62.0
Scores: (min: 62.0, avg: 62.0, max: 62.0)

Episode: 880, exploration: 0.9970041215644331, score: 31.0
Scores: (min: 31.0, avg: 46.5, max: 62.0)

Episode: 881, exploration: 0.9960074912571055, score: 17.0
Scores: (min: 17.0, avg: 36.666666666666664, max: 62.0)

Episode: 882, exploration: 0.994514413466049, score: 23.0
Scores: (min: 17.0, avg: 33.25, max: 62.0)

Episode: 883, exploration: 0.9920309226402729, score: 38.0
Scores: (min: 17.0, avg: 34.2, max: 62.0)

Episode: 884, exploration: 0.9912870854385903, score: 15.0
Scores: (min: 15.0, avg: 31.0, max: 62.0)

Episode: 885, exploration: 0.988317309835869, score: 48.0
Scores: (min: 15.0, avg: 33.42857142857143, max: 62.0)

Episode: 886, exploration: 0.9873293630832584, score: 16.0
Scores: (min: 15.0, avg: 31.25, max: 62.0)

Episode: 887, exploration: 0.9865890511697745, score: 12.0
Scores: (min: 12.0, avg: 29.11111111111111, max: 62.0)

Episode: 888, exploration: 0.985602832027841, score: 14.0
Scores: (min: 12.0, avg: 27.6, max: 62.0)

Episode: 889, exploration: 0.984617598735279, score: 15.0
Scores: (min: 12.0, avg: 26.454545454545453, max: 62.0)

Episode: 890, exploration: 0.982158822130087, score: 42.0
Scores: (min: 12.0, avg: 27.75, max: 62.0)

Episode: 891, exploration: 0.9809317372982452, score: 20.0
Scores: (min: 12.0, avg: 27.153846153846153, max: 62.0)

Episode: 892, exploration: 0.9801962224046453, score: 13.0
Scores: (min: 12.0, avg: 26.142857142857142, max: 62.0)

Episode: 893, exploration: 0.9784821649870683, score: 26.0
Scores: (min: 12.0, avg: 26.133333333333333, max: 62.0)

Episode: 894, exploration: 0.977259673679319, score: 22.0
Scores: (min: 12.0, avg: 25.875, max: 62.0)

Episode: 895, exploration: 0.9762827804169426, score: 14.0
Scores: (min: 12.0, avg: 25.176470588235293, max: 62.0)

Episode: 896, exploration: 0.9750630369656341, score: 21.0
Scores: (min: 12.0, avg: 24.944444444444443, max: 62.0)

Episode: 897, exploration: 0.9733579558880762, score: 28.0
Scores: (min: 12.0, avg: 25.105263157894736, max: 62.0)

Episode: 898, exploration: 0.9721418666398703, score: 19.0
Scores: (min: 12.0, avg: 24.8, max: 62.0)

Episode: 899, exploration: 0.970199283304499, score: 31.0
Scores: (min: 12.0, avg: 25.095238095238095, max: 62.0)

Episode: 900, exploration: 0.969471815739227, score: 12.0
Scores: (min: 12.0, avg: 24.5, max: 62.0)

Episode: 901, exploration: 0.968987140423346, score: 11.0
Scores: (min: 11.0, avg: 23.91304347826087, max: 62.0)

Episode: 902, exploration: 0.9672926841934447, score: 25.0
Scores: (min: 11.0, avg: 23.958333333333332, max: 62.0)

Episode: 903, exploration: 0.9668090983071408, score: 11.0
Scores: (min: 11.0, avg: 23.44, max: 62.0)

Episode: 904, exploration: 0.9639126557782126, score: 47.0
Scores: (min: 11.0, avg: 24.346153846153847, max: 62.0)

Episode: 905, exploration: 0.961986516470644, score: 32.0
Scores: (min: 11.0, avg: 24.62962962962963, max: 62.0)

Episode: 906, exploration: 0.9605444382577331, score: 25.0
Scores: (min: 11.0, avg: 24.642857142857142, max: 62.0)

Episode: 907, exploration: 0.9593443579001186, score: 20.0
Scores: (min: 11.0, avg: 24.482758620689655, max: 62.0)

